spkid,ma,full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H
3723955,26.49480775682762,"       (2015 NK3)",1.107730689080635,.351613722653464,28.41328085782869,136.7250220460009,313.1002825137891,.718237377795506,1.497224000365764,1.16589511842142,40,5,41,,,21.3
3724058,27.95445780470477,"       (2015 NK13)",2.254061954513993,.5580744652033554,8.093344068347879,192.9777778783004,192.0023032792851,.9961275347133665,3.511996374314619,3.38420743620981,153,4,388,,,21.0
3724104,37.87859395737239,"       (2015 NS13)",1.487490301877848,.4190902988791024,15.20614571759344,307.0711851887701,109.9687227420371,.8640975466840947,2.110883057071602,1.81421777056922,267,3,366,,,20.0
3724106,11.44581626168132,"       (2015 NU13)",1.829736359912865,.5898328416239443,4.209655204640823,140.0403223965702,260.2466477243955,.7504977633228078,2.908974956502923,2.47508991013984,231,4,56,,,19.6
3724112,40.22621053507424,"       (2015 NZ13)",2.015666845286554,.7805384746742253,6.588456122301714,175.6036384780417,239.4707284344975,.4423613204151794,3.588972370157928,2.86178057066884,19,3,124,1,2,20.6
3724114,306.4052971691094,"       (2015 NZ22)",1.360922575012715,.566171482867496,6.4331784429117,242.5156422817494,162.6897608521178,.5904070226499152,2.131438127375515,1.5876630211878,5,8,12,,,22.6
3724198,315.9883317627177,"       (2015 NJ24)",1.135291497845178,.2795744289433206,7.198778090134775,122.4931521832186,344.0694323926808,.8178930256509055,1.452689970039451,1.20967660197641,3,7,18,,,21.0
3724212,341.7119755783411,"       (2015 OM)",2.017495812904164,.8421978709351939,6.0666967349838,71.03933875562325,352.1312623359413,.3183651346556088,3.71662649115272,2.86567652040148,5,8,75,,,20.6
3724214,64.69415537093819,"       (2015 ON)",2.272443932292181,.5674593671527954,11.46816853069273,263.6415078050643,335.0826811629336,.98292433658345,3.561963528000911,3.42568926995685,18,7,57,,,22.1
3724213,160.1197483694421,"       (2015 OO)",1.415322971747657,.4151055118559392,6.867876738155569,148.8483153430346,45.37848103356082,.8278146051188768,2.002831338376437,1.68380399556355,18,7,50,,,22.2
3724242,62.31150651295282,"       (2015 OV)",1.122012801985359,.1655552467995985,7.648776999292896,136.0035560266065,270.42123947109,.9362576956403642,1.307767908330355,1.18851569317469,243,3,43,,,23.6
3724394,19.245090149223,"       (2015 OB22)",1.166658425979493,.3298327007243682,24.46805800145884,130.3288492366708,314.7708793612795,.7818563265158366,1.55146052544315,1.26015447284387,269,4,32,,,21.6
3724392,31.22338987915858,"       (2015 OC22)",2.147725734605833,.9046596551232201,11.5606121327432,125.2857829853588,321.0942122646368,.2047649122380556,4.090686556973611,3.14757751160943,32,7,61,,,20.0
3724393,40.17789364214109,"       (2015 OD22)",1.220380014081107,.5453406234682904,28.72023584824023,300.5245767601127,142.0056712274068,.5548572163338752,1.885902811828339,1.34818916424328,75,6,37,,,21.1
3724516,84.10262838928585,"       (2015 OA26)",1.853870880478616,.5157691990467471,1.880981823364486,294.680526273222,312.5755968218031,.8977013813180725,2.81004037963916,2.52422129679774,29,6,78,,,24.2
3724517,56.5687702700399,"       (2015 OF26)",1.342833016830598,.5411228567742969,8.692351026981987,287.3090657211453,137.0852731115654,.6161953785923772,2.069470655068818,1.55611331431371,22,6,54,,,21.6
3724583,189.1091288087426,"       (2015 OH26)",1.16477182446477,.1435260349178845,12.9109061472672,123.4374769361126,113.5212778611524,.9975967429152714,1.331946906014269,1.25709901818091,29,6,19,,,24.1
3724644,15.16733569413325,"       (2015 OL35)",2.593649500050423,.6413494850524293,4.47784419447515,134.9152833084449,296.1562491570024,.9302137287865936,4.257085271314252,4.17710249151818,261,3,433,,,18.0
3724646,134.6185902144228,"       (2015 OO35)",1.396877017873614,.3426493433216424,4.944931828659743,310.9057581090529,290.9178950422082,.9182380249981261,1.875516010749102,1.6509938690957,33,6,21,,,24.5
3725151,27.22023121362568,"       (2015 OS78)",2.268222212223074,.7539444211692816,7.474080927943857,10.59935146174332,52.44830215289574,.558108729345241,3.978335695100907,3.41614739619648,30,6,32,,,20.9
