id,full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H
a0000356,"   356 Liguria (1893 G)",2.758201057913568,.2372657414590901,8.224297553422719,354.7967127181366,78.54909926850019,2.103774438814458,3.412627677012678,4.58086067751094,44961,0,1392,,,8.22
a0000360,"   360 Carlova (1893 N)",3.002934259741349,.1781397564525463,11.69705475824703,132.5542044500705,287.8600240870479,2.467992282068018,3.537876237414681,5.20387599853521,40832,0,1546,,,8.48
a0000373,"   373 Melusina (1893 AJ)",3.11603805175048,.142286973238155,15.4315357572735,3.837198791131379,347.7165754281745,2.672666428871986,3.559409674628974,5.50062870610065,40725,0,1702,,,9.13
a0000375,"   375 Ursula (1893 AL)",3.124543430485005,.1058725730487687,15.94243640826943,336.5760320935901,342.3868444449126,2.793739977896931,3.455346883073078,5.5231654212712,44713,0,1212,,,7.47
a0000380,"   380 Fiducia (1894 AR)",2.677826763493357,.1148004099285484,6.158358510735941,95.11587756683018,239.62238946279,2.370411153326681,2.985242373660032,4.3820963167931,44624,0,1845,,,9.42
a0000381,"   381 Myrrha (1894 AS)",3.223262272986339,.08980572235843427,12.55794699662197,125.1042531753143,142.8300517121338,2.933794876210112,3.512729669762566,5.7869758464749,44624,0,1626,,,8.25
a0000386,"   386 Siegena (1894 AY)",2.895948536363115,.1707443102123591,20.25681215987117,166.8863116461396,219.4801646808811,2.401481801111304,3.390415271614926,4.92826964702503,44573,0,2182,,,7.43
a0000388,"   388 Charybdis (1894 BA)",3.004766337068344,.06475836634735886,6.445837751438433,354.2849751800496,333.0901681153471,2.81018257782426,3.199350096312426,5.20863901850427,44391,0,1513,,,8.57
a0000393,"   393 Lampetia (1894 BG)",2.777345440227156,.3315367987698055,14.87910036699557,212.4629309850286,90.83988806040686,1.856553223896329,3.698137656557984,4.62863624530574,41074,0,1394,1,0,8.39
a0000395,"   395 Delia (1894 BK)",2.783568986529635,.0865271446689426,3.351174398661804,259.3833405810665,11.397298849261,2.542714710136203,3.024423262923067,4.64420290645259,32692,0,2194,,,10.38
a0000404,"   404 Arsinoe (1895 BY)",2.593932327380719,.198956540444044,14.10409577913586,92.61466215910764,120.3634379774774,2.077852525379083,3.110012129382354,4.17778575516974,42659,0,1564,,,9.01
a0000405,"   405 Thia (1895 BZ)",2.585807047573208,.2423883522753455,11.93833137977582,255.2536464628534,308.7926563530176,1.959037538009962,3.212576557136454,4.15817127970388,42553,0,1343,,,8.46
a0000407,"   407 Arachne (1895 CC)",2.625424749203381,.06881820986910715,7.525691226769415,294.7350222405038,81.17100220187264,2.444747717817155,2.806101780589608,4.2540987275229,42559,0,1801,,,8.88
a0000410,"   410 Chloris (1896 CH)",2.724266472893563,.241465313166505,10.96233724355869,96.94641521341678,172.9622119970451,2.066450615867308,3.382082329919817,4.49658265302355,38683,0,1651,,,8.30
a0000414,"   414 Liriope (1896 CN)",3.504522846620071,.07242781921363518,9.558157386762961,110.5882769532565,319.7280415342969,3.250697899455019,3.758347793785124,6.56072064045962,39558,0,1689,,,9.49
a0000423,"   423 Diotima (1896 DB)",3.066535996013205,.03856168836551727,11.23187944381384,69.48459972229162,200.5621157570193,2.948285190573302,3.184786801453107,5.37007439979302,42691,0,2226,,,7.24
a0000429,"   429 Lotis (1897 DL)",2.60705966679288,.1228512782176929,9.533618273844489,219.9834483907358,167.9676615646661,2.286779054337582,2.927340279248178,4.20954017300475,41796,0,1918,,,9.82
a0000442,"   442 Eichsfeldia (1899 EE)",2.345585011977858,.07059508991377636,6.069040022168366,134.9374671225499,85.00896220036168,2.179998227156875,2.511171796798841,3.59240232737746,45211,0,1828,,,10.03
a0000444,"   444 Gyptis (1899 EL)",2.769832917199014,.175645622597892,10.27716905017783,195.7177844312261,155.0155849367012,2.283323889965458,3.25634194443257,4.60986875019048,42568,0,1614,,,7.83
a0000445,"   445 Edna (1899 EX)",3.202980047699155,.1943503264257337,21.30297533969868,292.2019453103328,81.18125331197669,2.580479829893712,3.825480265504597,5.73244045505578,42534,0,1356,,,9.29
a0000448,"   448 Natalie (1899 ET)",3.134728484188695,.1869820011430604,12.72471516575912,37.289234335707,294.1851570704546,2.548590679174941,3.72086628920245,5.55019315602255,42244,0,1420,,,10.30
a0000449,"   449 Hamburga (1899 EU)",2.550554922263209,.1735396337878191,3.085031196778879,85.92812925055786,47.26978688417596,2.107932555097933,2.993177289428486,4.07342966651703,42456,0,1751,,,9.47
a0000466,"   466 Tisiphone (1901 FX)",3.355170261452415,.09208765225904522,19.10951148442999,290.880832671679,249.5296819126784,3.046200509145895,3.664140013758935,6.14582299320416,41971,0,1476,,,8.5
a0000481,"   481 Emita (1902 HP)",2.742983184852393,.1556738749719564,9.834749372791427,66.80290199818204,349.8357910741815,2.315972363483503,3.169994006221283,4.54300191820329,40269,0,1497,,,8.8
a0000488,"   488 Kreusa (1902 JG)",3.168887089011258,.1591595539245258,11.51849641254644,84.24259651503246,71.3159521351055,2.664528433487037,3.673245744535479,5.64115911787929,41917,0,1323,,,7.81
a0000489,"   489 Comacina (1902 JM)",3.151288564616663,.04494607128203955,13.00023409872749,166.899224848531,12.02130755956465,3.009650524161126,3.292926605072199,5.59423186277139,38369,0,1507,,,8.32
a0000490,"   490 Veritas (1902 JP)",3.172222366751645,.0946425924792883,9.280756192504811,178.3343342581005,194.4636045051669,2.871995018041485,3.472449715461804,5.65006750514317,41409,0,1665,,,8.32
a0000494,"   494 Virtus (1902 JV)",2.986208578959538,.06341116958234717,7.086091086668151,38.21141685491556,218.0977510565255,2.796849600350875,3.175567557568201,5.16045993324903,41379,0,1999,,,8.96
a0000508,"   508 Princetonia (1903 LQ)",3.161028034771772,.008148137172220229,13.33708802732468,44.22381671851797,194.2126635596953,3.135271544739218,3.186784524804326,5.62018645069723,39426,0,1361,,,8.4
a0000511,"   511 Davida (1903 LU)",3.162824046403957,.1883129382258761,15.94086154644491,107.6084621992062,337.6945884579593,2.567223357134173,3.758424735673741,5.6249769905632,39914,0,1892,,,6.22
a0000521,"   521 Brixia (1904 NB)",2.739394289007001,.2825859604775424,10.59725774728824,89.66841992834561,316.0374314644366,1.965279922721264,3.513508655292739,4.53408879771027,40970,0,1483,,,8.31
a0000535,"   535 Montague (1904 OC)",2.569017769867711,.02430403253835163,6.777881953569796,84.81555546612205,64.26439994335533,2.506580278397243,2.631455261338179,4.11773946450388,40860,0,1841,,,9.4
a0000559,"   559 Nanon (1905 QD)",2.71113357810438,.06701951460093679,9.304947082810818,112.1468519471971,128.8576176056891,2.529434721681523,2.892832434527236,4.46410679905043,40555,0,1853,,,9.6
a0000566,"   566 Stereoskopia (1905 QO)",3.390493515612755,.1147059771505053,4.882738295053887,79.84237900725991,298.0426208231501,3.001583643881942,3.779403387343568,6.24313289156886,40465,0,1765,,,8.0
a0000569,"   569 Misa (1905 QT)",2.657984324225373,.1809158313215735,1.291504742251819,301.7626551149779,143.0352137915623,2.177112880568429,3.138855767882317,4.33348028632111,38936,0,1802,,,10.12
a0000583,"   583 Klotilde (1905 SP)",3.170783962414181,.1615684643694775,8.244907239511505,257.8775089297338,252.3174117210653,2.658485266759555,3.683082658068808,5.64622501272784,39866,0,1571,,,9.01
a0000585,"   585 Bilkis (1906 TA)",2.431321985731159,.1290138445939842,7.566910501108953,180.2926023129047,329.0869763396182,2.117647788906102,2.744996182556215,3.79115829493836,40210,0,1892,,,10.40
a0000593,"   593 Titania (1906 TT)",2.699991261869608,.2147746662121882,16.88389126693355,75.99594132376596,31.10770360815641,2.120101539825738,3.279880983913479,4.43661496942646,40173,0,1192,,,9.28
a0000602,"   602 Marianna (1906 TE)",3.084810642183554,.2491413625969292,15.10772439175878,331.5044363658353,45.89916424110403,2.316256715436436,3.853364568930673,5.41814929887252,40201,0,1388,,,8.31
a0000618,"   618 Elfriede (1906 VZ)",3.188350039899939,.07345456573047882,17.03858558667229,111.069996275951,228.1321284336776,2.954151172322334,3.422548907477544,5.69320989120282,39966,0,1458,,,8.3
a0000635,"   635 Vundtia (1907 ZS)",3.141486193415306,.07620883550347733,11.0293263121157,183.0627223609,223.8255796361161,2.902077188864873,3.380895197965738,5.56815011698223,39722,0,1913,,,9.01
