,asteroid_full_name,asteroid_id,asteroid_q_function,asteroid_tisserand,cycler_orbit_index,cycler_orbit_q_function,cycler_orbit_tisserand,delta_q_function,delta_tisserand
38837,375657 (2009 CP5),a0375657,0.119479589534,2.86303325446,11,0.135443868916,2.86006511611,0.015964279382,0.0029681383503
38784,331990 (2005 FD),a0331990,0.0984862373212,2.86304048977,11,0.135443868916,2.86006511611,0.0369576315947,0.00297537366451
37862,       (2014 WA201),bK14WK1A,0.10463066346,2.85526219872,10,0.1701329397,2.85225723988,0.0655022762403,0.00300495883912
39258,       (2004 YG1),bK04Y01G,0.760051824616,2.85704730823,11,0.135443868916,2.86006511611,0.6246079557,0.00301780787912
37308,       (2013 EX89),bK13E89X,0.110293641262,2.8552944082,10,0.1701329397,2.85225723988,0.0598392984383,0.00303716831773
36253,       (2008 WH96),bK08W96H,0.118922971623,2.85531810758,10,0.1701329397,2.85225723988,0.051209968077,0.00306086769278
40598,       (2012 HA34),bK12H34A,0.131357589896,2.85696398599,11,0.135443868916,2.86006511611,0.00408627902012,0.00310113011553
37863,       (2014 WC201),bK14WK1C,0.10458098939,2.84914866495,10,0.1701329397,2.85225723988,0.0655519503106,0.00310857493186
40456,       (2011 WL15),bK11W15L,0.501321820092,2.85695093595,11,0.135443868916,2.86006511611,0.365877951177,0.0031141801604
37528,       (2014 BX32),bK14B32X,0.163645328209,2.84911995285,10,0.1701329397,2.85225723988,0.00648761149164,0.00313728702814
41705,       (2015 TK21),bK15T21K,0.090438581261,2.86321157779,11,0.135443868916,2.86006511611,0.0450052876549,0.00314646167588
41209,       (2014 MY67),bK14M67Y,0.113788975506,2.86323120892,11,0.135443868916,2.86006511611,0.0216548934099,0.00316609281509
41278,       (2014 SQ143),bK14SE3Q,0.147636529982,2.86323634318,11,0.135443868916,2.86006511611,0.0121926610658,0.00317122707432
37038,       (2012 ER3),bK12E03R,0.410926109156,2.84908366986,10,0.1701329397,2.85225723988,0.240793169455,0.00317357001854
41979,       (2016 EU155),bK16EF5U,0.275943066604,2.8568625314,11,0.135443868916,2.86006511611,0.140499197688,0.00320258470467
38172,       (2015 RK82),bK15R82K,0.160513215872,2.84905214358,10,0.1701329397,2.85225723988,0.0096197238282,0.00320509630681
40309,       (2011 EY11),bK11E11Y,0.10246973802,2.8568281868,11,0.135443868916,2.86006511611,0.0329741308961,0.00323692930588
36382,       (2009 SR171),bK09SH1R,0.132518380108,2.85553009167,10,0.1701329397,2.85225723988,0.0376145595924,0.00327285178328
36297,       (2009 DQ4),bK09D04Q,0.673480094029,2.84893638554,10,0.1701329397,2.85225723988,0.503347154329,0.00332085433889
40637,       (2012 QM14),bK12Q14M,0.0943053324138,2.85673742499,11,0.135443868916,2.86006511611,0.041138536502,0.00332769112254
35051,  1620 Geographos (1951 RA),a0001620,0.118625237324,2.84888488701,10,0.1701329397,2.85225723988,0.051507702376,0.00337235287194
36320,       (2009 FJ1),bK09F01J,0.173898841427,2.84886312256,10,0.1701329397,2.85225723988,0.00376590172614,0.00339411731845
38905,434196 (2003 HG2),a0434196,1.71052565293,2.86346955962,11,0.135443868916,2.86006511611,1.57508178401,0.00340444351496
38131,       (2015 OO),bK15O00O,0.195583038666,2.85568630391,10,0.1701329397,2.85225723988,0.0254500989659,0.00342906402278
41260,       (2014 RJ),bK14R00J,1.78647449405,2.86355890608,11,0.135443868916,2.86006511611,1.65103062513,0.00349378996813
40018,       (2010 FD6),bK10F06D,0.0990986264673,2.85653920654,11,0.135443868916,2.86006511611,0.0363452424486,0.0035259095743
40355,       (2011 HC36),bK11H36C,0.522402485588,2.86362106412,11,0.135443868916,2.86006511611,0.386958616672,0.00355594801505
40306,       (2011 EW4),bK11E04W,0.102564490613,2.86363073418,11,0.135443868916,2.86006511611,0.0328793783031,0.00356561807439
39717,       (2008 TP26),bK08T26P,0.132905944516,2.86363685645,11,0.135443868916,2.86006511611,0.0025379243997,0.00357174034079
32555,       (2007 UK40),bK07U40K,0.191707534322,2.77449077044,9,0.324281927812,2.77813056648,0.13257439349,0.00363979603685
40513,       (2012 CO36),bK12C36O,0.140636310982,2.86371299851,11,0.135443868916,2.86006511611,0.00519244206571,0.00364788239819
41858,       (2016 AY64),bK16A64Y,0.109908106675,2.85640859348,11,0.135443868916,2.86006511611,0.0255357622412,0.00365652262716
38725,238456 (2004 RK),a0238456,1.05817247638,2.85639678748,11,0.135443868916,2.86006511611,0.922728607464,0.00366832863167
36980,       (2012 AW10),bK12A10W,0.151474937149,2.85593354996,10,0.1701329397,2.85225723988,0.0186580025515,0.00367631008028
38571,  7350 (1993 VA),a0007350,0.223041410759,2.8637457817,11,0.135443868916,2.86006511611,0.0875975418436,0.00368066558688
37809,       (2014 UT33),bK14U33T,0.10486048377,2.8559617154,10,0.1701329397,2.85225723988,0.0652724559305,0.00370447551857
